id,date,latitude,longitude,category,severity,source_type,data_status,age_days
syn-shrawan-2083-0001,2083-Shrawan,27.773662,85.270700,theft,2,simulation,SYNTHETIC,8
syn-shrawan-2083-0002,2083-Shrawan,27.658491,85.491431,theft,2,simulation,SYNTHETIC,23
syn-shrawan-2083-0003,2083-Shrawan,27.614706,85.489976,theft,2,simulation,SYNTHETIC,27
syn-shrawan-2083-0004,2083-Shrawan,27.659904,85.399254,theft,2,simulation,SYNTHETIC,25
syn-shrawan-2083-0005,2083-Shrawan,27.729079,85.290955,theft,2,simulation,SYNTHETIC,11
syn-shrawan-2083-0006,2083-Shrawan,27.602582,85.302830,theft,2,simulation,SYNTHETIC,17
syn-shrawan-2083-0007,2083-Shrawan,27.720578,85.385226,theft,2,simulation,SYNTHETIC,21
syn-shrawan-2083-0008,2083-Shrawan,27.607166,85.365298,theft,2,simulation,SYNTHETIC,18
syn-shrawan-2083-0009,2083-Shrawan,27.676919,85.284621,theft,2,simulation,SYNTHETIC,5
syn-shrawan-2083-0010,2083-Shrawan,27.679203,85.223693,theft,2,simulation,SYNTHETIC,22
syn-shrawan-2083-0011,2083-Shrawan,27.700356,85.385954,theft,2,simulation,SYNTHETIC,6
syn-shrawan-2083-0012,2083-Shrawan,27.663058,85.374173,theft,2,simulation,SYNTHETIC,28
syn-shrawan-2083-0013,2083-Shrawan,27.671662,85.306269,theft,2,simulation,SYNTHETIC,1
syn-shrawan-2083-0014,2083-Shrawan,27.727353,85.258936,theft,2,simulation,SYNTHETIC,6
syn-shrawan-2083-0015,2083-Shrawan,27.655066,85.293982,theft,2,simulation,SYNTHETIC,16
syn-shrawan-2083-0016,2083-Shrawan,27.690287,85.371089,theft,2,simulation,SYNTHETIC,28
syn-shrawan-2083-0017,2083-Shrawan,27.616642,85.296705,theft,2,simulation,SYNTHETIC,6
syn-shrawan-2083-0018,2083-Shrawan,27.667809,85.394053,theft,2,simulation,SYNTHETIC,18
syn-shrawan-2083-0019,2083-Shrawan,27.678324,85.460163,theft,2,simulation,SYNTHETIC,13
syn-shrawan-2083-0020,2083-Shrawan,27.683975,85.296251,theft,2,simulation,SYNTHETIC,29
syn-shrawan-2083-0021,2083-Shrawan,27.615546,85.208337,theft,2,simulation,SYNTHETIC,28
syn-shrawan-2083-0022,2083-Shrawan,27.717122,85.328710,theft,2,simulation,SYNTHETIC,0
syn-shrawan-2083-0023,2083-Shrawan,27.629612,85.406380,theft,2,simulation,SYNTHETIC,16
syn-shrawan-2083-0024,2083-Shrawan,27.734033,85.291453,theft,2,simulation,SYNTHETIC,24
syn-shrawan-2083-0025,2083-Shrawan,27.737700,85.478896,theft,2,simulation,SYNTHETIC,22
syn-shrawan-2083-0026,2083-Shrawan,27.743284,85.262982,theft,2,simulation,SYNTHETIC,4
