model,officers,zone,normalized_risk,assigned_officers,ideal_share
frequency-only,6,Thamel,4.8387,0,0.0804
frequency-only,6,Kalimati,29.7235,1,0.4939
frequency-only,6,New Baneshwor,4.6083,0,0.0766
frequency-only,6,Chabahil,8.9862,0,0.1493
frequency-only,6,Koteshwor,83.1797,1,1.3823
frequency-only,6,Balaju,33.4101,1,0.5552
frequency-only,6,Patan,26.9585,0,0.448
frequency-only,6,Gongabu,10.1382,0,0.1685
frequency-only,6,Kirtipur,59.2166,1,0.984
frequency-only,6,Bouddha,100,2,1.6618
frequency-only,12,Thamel,4.8387,0,0.1608
frequency-only,12,Kalimati,29.7235,1,0.9879
frequency-only,12,New Baneshwor,4.6083,0,0.1532
frequency-only,12,Chabahil,8.9862,0,0.2987
frequency-only,12,Koteshwor,83.1797,3,2.7645
frequency-only,12,Balaju,33.4101,1,1.1104
frequency-only,12,Patan,26.9585,1,0.896
frequency-only,12,Gongabu,10.1382,1,0.3369
frequency-only,12,Kirtipur,59.2166,2,1.9681
frequency-only,12,Bouddha,100,3,3.3235
frequency-only,20,Thamel,4.8387,0,0.268
frequency-only,20,Kalimati,29.7235,2,1.6465
frequency-only,20,New Baneshwor,4.6083,0,0.2553
frequency-only,20,Chabahil,8.9862,0,0.4978
frequency-only,20,Koteshwor,83.1797,5,4.6075
frequency-only,20,Balaju,33.4101,2,1.8507
frequency-only,20,Patan,26.9585,1,1.4933
frequency-only,20,Gongabu,10.1382,1,0.5616
frequency-only,20,Kirtipur,59.2166,3,3.2802
frequency-only,20,Bouddha,100,6,5.5392
severity-only,6,Thamel,100,1,0.637
severity-only,6,Kalimati,93.6047,1,0.5963
severity-only,6,New Baneshwor,89.25,0,0.5686
severity-only,6,Chabahil,96.9231,1,0.6174
severity-only,6,Koteshwor,95.5471,1,0.6087
severity-only,6,Balaju,91.9655,0,0.5859
severity-only,6,Patan,91.0897,0,0.5803
severity-only,6,Gongabu,93.0682,0,0.5929
severity-only,6,Kirtipur,95.8074,1,0.6103
severity-only,6,Bouddha,94.5968,1,0.6026
severity-only,12,Thamel,100,2,1.2741
severity-only,12,Kalimati,93.6047,1,1.1926
severity-only,12,New Baneshwor,89.25,1,1.1371
severity-only,12,Chabahil,96.9231,2,1.2349
severity-only,12,Koteshwor,95.5471,1,1.2174
severity-only,12,Balaju,91.9655,1,1.1717
severity-only,12,Patan,91.0897,1,1.1606
severity-only,12,Gongabu,93.0682,1,1.1858
severity-only,12,Kirtipur,95.8074,1,1.2207
severity-only,12,Bouddha,94.5968,1,1.2052
severity-only,20,Thamel,100,2,2.1235
severity-only,20,Kalimati,93.6047,2,1.9877
severity-only,20,New Baneshwor,89.25,2,1.8952
severity-only,20,Chabahil,96.9231,2,2.0581
severity-only,20,Koteshwor,95.5471,2,2.0289
severity-only,20,Balaju,91.9655,2,1.9529
severity-only,20,Patan,91.0897,2,1.9343
severity-only,20,Gongabu,93.0682,2,1.9763
severity-only,20,Kirtipur,95.8074,2,2.0344
