seed,model,top_zone,mean_absolute_rank_shift_vs_frequency,zones_with_changed_allocation_vs_frequency,patrol_km
208304,frequency-only,Bouddha,0,0,23.6
208305,frequency-only,Bouddha,0,0,17.9
208306,frequency-only,Bouddha,0,0,23.6
208307,frequency-only,Bouddha,0,0,17.9
208308,frequency-only,Bouddha,0,0,17.9
208304,severity-only,Thamel,2.8,6,18.1
208305,severity-only,Thamel,1.8,7,17.1
208306,severity-only,Thamel,2.8,7,20.1
208307,severity-only,Chabahil,2.6,7,21.8
208308,severity-only,Thamel,2.6,7,17.8
208304,frequency-severity,Bouddha,0,0,23.6
208305,frequency-severity,Bouddha,0.2,0,17.9
208306,frequency-severity,Bouddha,0,0,23.6
208307,frequency-severity,Bouddha,0.2,0,17.9
208308,frequency-severity,Bouddha,0,0,17.9
208304,current-severity-recency,Bouddha,0,0,23.6
208305,current-severity-recency,Bouddha,0.2,0,17.9
208306,current-severity-recency,Bouddha,0.2,2,23.6
208307,current-severity-recency,Bouddha,0,0,17.9
208308,current-severity-recency,Bouddha,0,0,17.9
