section,model,metric,value
risk,frequency-only,zones_with_rank_change,0
risk,frequency-only,mean_absolute_rank_shift,0
risk,frequency-only,top_zone,Bouddha
risk,severity-only,zones_with_rank_change,7
risk,severity-only,mean_absolute_rank_shift,2.8
risk,severity-only,top_zone,Thamel
risk,frequency-severity,zones_with_rank_change,0
risk,frequency-severity,mean_absolute_rank_shift,0
risk,frequency-severity,top_zone,Bouddha
risk,current-severity-recency,zones_with_rank_change,0
risk,current-severity-recency,mean_absolute_rank_shift,0
risk,current-severity-recency,top_zone,Bouddha
allocation,frequency-only,officer_budget,12
allocation,frequency-only,zones_with_changed_allocation,0
allocation,frequency-only,total_absolute_officer_change,0
allocation,severity-only,officer_budget,12
allocation,severity-only,zones_with_changed_allocation,6
allocation,severity-only,total_absolute_officer_change,10
allocation,frequency-severity,officer_budget,12
allocation,frequency-severity,zones_with_changed_allocation,0
allocation,frequency-severity,total_absolute_officer_change,0
allocation,current-severity-recency,officer_budget,12
allocation,current-severity-recency,zones_with_changed_allocation,0
allocation,current-severity-recency,total_absolute_officer_change,0
patrol,frequency-only,baseline_km,23.62
patrol,frequency-only,optimized_km,22.31
patrol,frequency-only,distance_saved_km,1.3
patrol,frequency-only,distance_saved_percent,5.51
patrol,frequency-only,route_order_changed,yes
patrol,severity-only,baseline_km,18.12
patrol,severity-only,optimized_km,18.12
patrol,severity-only,distance_saved_km,0
patrol,severity-only,distance_saved_percent,0
patrol,severity-only,route_order_changed,no
patrol,frequency-severity,baseline_km,23.62
patrol,frequency-severity,optimized_km,22.31
patrol,frequency-severity,distance_saved_km,1.3
patrol,frequency-severity,distance_saved_percent,5.51
patrol,frequency-severity,route_order_changed,yes
patrol,current-severity-recency,baseline_km,23.62
patrol,current-severity-recency,optimized_km,22.31
patrol,current-severity-recency,distance_saved_km,1.3
patrol,current-severity-recency,distance_saved_percent,5.51
patrol,current-severity-recency,route_order_changed,yes
